FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe South tri-radial cairn western cist (2/C),Turf Knowe South tri-radial cairn western cist cremation deposit 1,Turf Knowe South tri-radial cairn,Northumberland,NU006157 ,400600,615700,On N facing spur of hill overlooking the Ingram valley and River Breamish c. 1km to the north. Cairn positioned on ridge top. Spring within 1km,North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Cist in pits next to Tri-radial cairn, each arm of which is c. 6m in length from centre, and 1m wide. The cist was placed just NW of the SW arm. The site consists of a 'kerb' of set stones, the space between which is filled with cairn stones, all of which are described as water-rounded boulders of pyroclast, andesite and granite brought from the river valley",N/a,Cist associated with cairn/cemetery,Cist,NW-SE,1m long by .5m wide (depth not given),100,50,?,"2m WSW from the intersection between the SW and NW arms of the tri-radial cairn. Set within a bedding pit 2.8m by 1.6m, 1.2m deep. This pit contained a displaced Food Vessel",N/a,"Cist, oriented North West-South East, set in larger pit with one other cist, next to tri-radial cairn","One of 2 cists in a large pit, which is one of two pits",Cremation,"Clay silt at bottom, clayey sand fills of cist","Clay silt along the base of the cist, into which cremated bone was impressed. The cremated bone was found in two discrete dumps, one in the E corner, one against the N wall of the cist ",N/a,1 (?),Indet.,Adult/older adult,"There was no bone duplication between the two heaps, suggesting the same individual and age and size were consistent between the two dumps",Site currently in post-excavation analysis,Excavation report,"None, though a Food Vessel was found next to this cist. The excavators interpret this as having been removed from the cist. The cist had clearly been opened in a later period and possibly re-used several times",,N/a,Awaiting publication,N/a,N/a,N,"3560+-40 BP (2030-1770 cal BC, 2 sigma) from cremated bone/charred twig? [GU-12452]",2030-1770 BC original use,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warden Law cist ,Warden Law cist cremation deposit,Warden Law cist,Tyne & Wear,NZ372505,437200,550500,"On SE slope of Warden Law, on natural hillock",South East,Upland hillside on natural hillock,260m,Durham Magnesium Limestone Plateau,Low hills,Unclear: other mounds reported on Warden Law,"Cist with small covering mound forming an oval barrow c.11m by at least 6m but half quarried away. Mound material yellow-brown loam, with two layers of slightly different soil composition. Excavators argue that OLS was removed during construction of the cist and barrow",11m?,Oval or round mound,Cist,N/a,.3m square cist,30,30,30,"At centre of the mound, cist built up on subsoil then covered with yellow-brown sandy loam",Centre,Square cist covered by low earthern mound,None recorded (mound was half destroyed by quarrying before cist spotted),Cremation,"No materials mentioned outside the urn in the cist; vessel was disturbed during quarrying, no mention of contents beyond cremated bone",Cremation in inverted vessel,N/a,2,Indet. (2),"Child, 2-10 years old, Adult (scraps)",No pathology observed. Some bone lost between discovery of site and recovery of remains,Sunderland Museum (T423),Michelle Gamble 2011,Food Vessel,"Cross-hatching on inside rim, single cordon half way down body, incisde lines from rim towards base but not marking cordon), 21cm tall. Originally identified as Cordoned Urn by seemingly Food Vessel Urn with cordon ",Food Vessel Urn,Food Vessel Urn,Y,N/a,N,"2025-1887 cal BC (95.4%) [OxA-26257], child longbone fragment (dated 2012)",2025-1887 BC,"Ford, W. & Miket, R. 1982. An Urned Cremation from Warden Law, Tyne and Wear. Archaeologia Aeliana (5th Series) 10, 53-9.",1970s,,Ford and Miket,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkshaugh Farm barrow cist 1,Warkshaugh Farm cist 1,Warkshaugh Farm round barrow (Warkshaugh (GwUn44)),Northumberland,NY867765,386700,576500,Riverside (prone to flooding). Spring within 1km,South West,Low hills,90m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Low tumulus c.15m in diameter. Stones and earth in the NE of the barrow are described as reddened by fire,15m,Round barrow,Cist,E-W,"1m long, .8m wide, .6m deep",100,80,60,Within SSE edge of mound,South South East,"Cist, oriented East-West, probably set in pit",One of 5 mortuary features in cairn,uncremated remains,"Cist described as filled with ""river sand"" - unclear whether this was influx from flooding or deliberate deposition",Not given,?,Unknown,Indet.,Indet.,Some bone present,N,Excavation report,"Food Vessel, mottled grey flint knife",,Food Vessel,Not firmly identified during study but probably a vase,Y,Y,N/a,N/a,2150-1750 BC,"Rome Hall, G. 1887. Recent Explorations in Ancient British Barrows, Containing Cup-Marked Stones, Near Birtley, North Tynedale. Archaeologia Aeliana (2nd Series) 12, 241-267.",1870s,,H Allgood/Rome Hall (reported by Rome Hall),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkshaugh Farm barrow cist 2,Warkshaugh Farm cist 2,Warkshaugh Farm round barrow (Warkshaugh (GwUn44)),Northumberland,NY867765,386700,576500,Riverside (prone to flooding). Spring within 1km,South West,Low hills,90m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Low tumulus c.15m in diameter. Stones and earth in the NE of the barrow are described as reddened by fire,15m,Round barrow,Cist,E-W,"1m long, .6m wide, .7m deep",100,60,70,Within S edge of mound,South,"Cist, oriented East-West, probably set in pit",One of 5 mortuary features in cairn,uncremated remains,"Cist described as filled with ""river sand"" - unclear whether this was influx from flooding or deliberate deposition",Not given,?,Unknown,Indet.,Indet.,"Bones recovered, details not specified",N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N/a,N/a,?2300-1700? BC,"Rome Hall, G. 1887. Recent Explorations in Ancient British Barrows, Containing Cup-Marked Stones, Near Birtley, North Tynedale. Archaeologia Aeliana (2nd Series) 12, 241-267.",1870s,,H Allgood/Rome Hall (reported by Rome Hall),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkshaugh Farm barrow cist 3,Warkshaugh Farm cist 3,Warkshaugh Farm round barrow (Warkshaugh (GwUn44)),Northumberland,NY867765,386700,576500,Riverside (prone to flooding). Spring within 1km,South West,Low hills,90m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Low tumulus c.15m in diameter. Stones and earth in the NE of the barrow are described as reddened by fire,15m,Round barrow,Cist,E-W,".7m long, .4m wide, .6m deep",70,40,60,Within SE side of mound,South East,"Cist, oriented East-West, probably set in pit",One of 5 mortuary features in cairn,uncremated remains,"Cist described as filled with ""river sand"" - unclear whether this was influx from flooding or deliberate deposition",Not given,?,Unknown,Indet.,Indet.,Some bone present,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N/a,N/a,?2300-1700? BC,"Rome Hall, G. 1887. Recent Explorations in Ancient British Barrows, Containing Cup-Marked Stones, Near Birtley, North Tynedale. Archaeologia Aeliana (2nd Series) 12, 241-267.",1870s,,H Allgood/Rome Hall (reported by Rome Hall),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkshaugh Farm barrow cist 4,Warkshaugh Farm cist 4,Warkshaugh Farm round barrow (Warkshaugh (GwUn44)),Northumberland,NY867765,386700,576500,Riverside (prone to flooding). Spring within 1km,South West,Low hills,90m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Low tumulus c.15m in diameter. Stones and earth in the NE of the barrow are described as reddened by fire,15m,Round barrow,Cist,E-W,"1m long, .5m wide, .5m deep",100,50,50,"At centre of mound, and described as higher up in the mound than the other cists",Centre,"Cist, oriented East-West, probably standing on land surface or inserted into mound",One of 5 mortuary features in cairn,uncremated remains?,"Cist described as filled with ""river sand"" - unclear whether this was influx from flooding or deliberate deposition",Not given,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N/a,N/a,?2300-1700? BC,"Rome Hall, G. 1887. Recent Explorations in Ancient British Barrows, Containing Cup-Marked Stones, Near Birtley, North Tynedale. Archaeologia Aeliana (2nd Series) 12, 241-267.",1870s,,H Allgood/Rome Hall (reported by Rome Hall),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkshaugh Farm barrow cremation deposit 1 (not recorded in Kinnes and Longworth),Warkshaugh Farm cremation deposit 1 (not recorded in Kinnes and Longworth),Warkshaugh Farm round barrow (Warkshaugh (GwUn44)),Northumberland,NY867765,386700,576500,Riverside (prone to flooding). Spring within 1km,South West,Low hills,90m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Low tumulus c.15m in diameter. Stones and earth in the NE of the barrow are described as reddened by fire,15m,Round barrow,Cremation in inverted urn placed in stone-lined pit,?,Not given,?,?,?,Believed to be exterior to the mound: near to and E of cist one,East,Stone-lined pit into subsoil just outside perimeter of mound,One of 5 mortuary features in/next to cairn,cremation?,The pit containing the collared urn was lined with stones,Collared urn was inverted,N/a,Not recorded,N/a,N/a,Presence or otherwise of bones in the inverted urn not commented upon,N,Excavation report,Collared Urn ,"No horizontal banding, herringbone patterns across collar, neck and shoulder, stopping at the sharp angle where the shoulder slopes back to the flat tapering body ",Collared Urn,Collared Urn ,Y (in Kinnes and Longworth),N,N/a,N/a,2000-1500 BC,"Rome Hall, G. 1887. Recent Explorations in Ancient British Barrows, Containing Cup-Marked Stones, Near Birtley, North Tynedale. Archaeologia Aeliana (2nd Series) 12, 241-267.",1870s,,H Allgood (reported by Rome Hall),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkworth cairn cist 1,Warkworth cairn cist 1 ,Warkworth round cairn (Gw296),Northumberland,NU277043,427700,604300,"Coastal/sand dunes, probably close to sea during EBA - the cairn is built of rounded pebbles but note that it was not built on sand or beach. Located just S of where the River Coquet currently flows to the sea on a headland with extensive views N across the dunes of Alnmouth Bay",East,"Coastal lowland/beach, now eroded into sea",10m,South East Northumberland Coastal Plain,Coastal & near river mouth,"Part of a cluster of sites around this river mouth (e.g. Amble), and Low Hauxley is less than 2km to the SE","Round cairn, 12m diameter, 1.5m high. Cairn is largely constructed of beach pebbles and was submerged within a dune, eroded out during quarrying in 1883",12m,Round cairn,Cist,NE-SW,"1.1m long, .6m wide, .6m deep",110,60,60,At centre of cairn,Centre,"Cist, oriented North East-South West, set in pit in subsoil, four sides slabs, one cover slab level with ground surface","One of 12 mortuary deposits within this cairn. Note that Greenwell (1890: 67) reports ""about twenty cists"" originally in the cairn","Uncremated burial, crouched?",None mentioned,"Head to the E of the cist, but impossible to ascertain further details from decayed remains. Position of the artefacts in the cist are not recorded",?,1 (?),Indet.,Indet.,None ,N,Excavation report,"Bronze knife-dagger blade, Food Vessel, flint flake","Flat riveted knife-dagger, three rivets",Food Vessel,Flat riveted knife-dagger (Gerloff no. 260),N/a,Y (in Kinnes and Longworth),N/a,N/a,2200-1650 BC,"Greenwell, W. 1890. Recent Researches in Barrows in Yorkshire, Wiltshire, Berkshire, etc. Archaeologia 52, 1-72.",1880s,,Greenwell/ Green and Douglas,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkworth cairn cist 2,Warkworth cairn cist 2 ,Warkworth round cairn (Gw296),Northumberland,NU277043,427700,604300,"Coastal/sand dunes, probably close to sea during EBA - the cairn is built of rounded pebbles but note that it was not built on sand or beach. Located just S of where the River Coquet currently flows to the sea on a headland with extensive views N across the dunes of Alnmouth Bay",East,"Coastal lowland/beach, now eroded into sea",10m,South East Northumberland Coastal Plain,Coastal & near river mouth,"Part of a cluster of sites around this river mouth (e.g. Amble), and Low Hauxley is less than 2km to the SE","Round cairn, 12m diameter, 1.5m high. Cairn is largely constructed of beach pebbles and was submerged within a dune, eroded out during quarrying in 1883",12m,Round cairn,Cist,N/a,.4m square,40,40,40,To the E of cist 1,East,"Small box cist (irregular), depth not recorded. End slabs were single slabs. The cist is describe as ""covered by cobble stones""","One of 12 mortuary deposits within this cairn. Note that Greenwell (1890: 67) reports ""about twenty cists"" originally in the cairn",Uncremated remains,None mentioned,Bones within cist,?,1 (?),Indet.,Child,"None given, ""much decayed""",N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2300-1750 BC,"Greenwell, W. 1890. Recent Researches in Barrows in Yorkshire, Wiltshire, Berkshire, etc. Archaeologia 52, 1-72.",1880s,,Greenwell/ Green and Douglas,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warkworth cairn cist 3,Warkworth cairn cist 3 cremation deposit,Warkworth round cairn (Gw296),Northumberland,NU277043,427700,604300,"Coastal/sand dunes, probably close to sea during EBA - the cairn is built of rounded pebbles but note that it was not built on sand or beach. Located just S of where the River Coquet currently flows to the sea on a headland with extensive views N across the dunes of Alnmouth Bay",East,"Coastal lowland/beach, now eroded into sea",10m,South East Northumberland Coastal Plain,Coastal & near river mouth,"Part of a cluster of sites around this river mouth (e.g. Amble), and Low Hauxley is less than 2km to the SE","Round cairn, 12m diameter, 1.5m high. Cairn is largely constructed of beach pebbles and was submerged within a dune, eroded out during quarrying in 1883",12m,Round cairn,Cist,?,".6m long, .3m wide and .3m deep",60,30,30,"1.8m SSW of cist 1 ""placed on the top of the broken rock underlying the surface soil""",South South West,"Cist, probably set in pit and covered with cairn. Cist had four side slabs and a single cover slab","One of 12 mortuary deposits within this cairn. Note that Greenwell (1890: 67) reports ""about twenty cists"" originally in the cairn",Cremation,None mentioned,Unclear due to disturbance,N/a,1 (?),Indet.,Indet.,None given,N,Excavation report,Food Vessel,Straight-sided bipartite urn with pronounced ridge around shoulder (almost collared) and incised herrringbone patterns on neck and shoulder area,Vase Food Vessel,"Bipartite Vase Food Vessel, Gibson no. 27",Y (in Kinnes and Longworth),N/a,N/a,N/a,2150-1750 BC,"Greenwell, W. 1890. Recent Researches in Barrows in Yorkshire, Wiltshire, Berkshire, etc. Archaeologia 52, 1-72.",1880s,,Greenwell/ Green and Douglas,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
